name,classification,profile_url,photo_url,mugshot_url,entry_in_ioc,born,games_participated,athlete_profile
HRH Prince Nawaf Bin Faisal Bin Fahad Bin ABDULAZIZ AL SAUD,IOC honorary members,https://www.olympics.com/ioc/hrh-prince-nawaf-bin-faisal-bin-fahad-bin-abdulaziz-al-saud,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699274513/primary/syredflwjo0ofne6kmts,2002,01-Apr-78,,
Mr Melitón SÁNCHEZ RIVAS,IOC honorary members,https://www.olympics.com/ioc/mr-meliton-sanchez-rivas,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699274481/primary/wicqroazutfjluom1yke,1998,08-Nov-34,,
Dr Julio César MAGLIONE,IOC honorary members,https://www.olympics.com/ioc/dr-julio-cesar-maglione,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699274198/primary/nvxr6xwammon3kgdvwcf,1996,14-Nov-35,,
Mr Lambis V. NIKOLAOU,IOC honorary members,https://www.olympics.com/ioc/mr-lambis-v-nikolaou,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699274170/primary/wiz1erq4o5qem2jwlyrc,1986,23-Nov-35,,
Mr Vitaly SMIRNOV,IOC honorary members,https://www.olympics.com/ioc/mr-vitaly-smirnov,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699274136/primary/jllfayu2yyxolfjmojk6,1971,14-Feb-35,,
Mr Toni KHOURY,IOC honorary members,https://www.olympics.com/ioc/mr-toni-khoury,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699273472/primary/al3g3jh5ofjt7bnqseua,1995,26-Sep-35,,
Mr Alexander POPOV,IOC honorary members,https://www.olympics.com/ioc/mr-alexander-popov,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699273427/primary/dcaupg30u0xybv7nmgar,2000,16-Nov-71,"1992, 1996, 2000, 2004",Alexander POPOV
Mr Timothy Tsun Ting FOK,IOC honorary members,https://www.olympics.com/ioc/mr-timothy-tsun-ting-fok,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699273345/primary/fpzdbjjfhupec3o6kyro,2001,14-Feb-46,,
Mr Gerhard HEIBERG,IOC honorary members,https://www.olympics.com/ioc/mr-gerhard-heiberg,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272947/primary/o7tspn2jxy2cwwtvslxl,1994,20-Apr-39,,
HRH Prince Tunku IMRAN,IOC honorary members,https://www.olympics.com/ioc/hrh-prince-tunku-imran,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272894/primary/utjnnsbiour2dw6qhago,2006,21-Mar-48,,
Mr Mario PESCANTE,IOC honorary members,https://www.olympics.com/ioc/mr-mario-pescante,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272856/primary/abaehqyll4lhxif8zkwb,1994,07-Jul-38,,
Mr Sam RAMSAMY,IOC honorary members,https://www.olympics.com/ioc/mr-sam-ramsamy,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272817/primary/zdryjhns4zrrqhzmcywq,1995,27-Jan-38,,
Mr Ung CHANG,IOC honorary members,https://www.olympics.com/ioc/mr-ung-chang,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272758/primary/ehcibiihgntbel7zq6o5,1996,05-Jul-38,,
Mr Franco CARRARO,IOC honorary members,https://www.olympics.com/ioc/mr-franco-carraro,,https://img.olympics.com/images/image/private/t_original_380/f_auto/v1699272727/primary/m16yrsinexlwz0adqllx,1982,06-Dec-39,,
